,text,favorite_count,retweet_count,created_at
0,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-07 10:09:45+00:00
1,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-07 02:43:18+00:00
2,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 22:52:36+00:00
3,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 21:20:57+00:00
4,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 21:19:36+00:00
5,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 19:26:47+00:00
6,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 19:23:27+00:00
7,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 19:11:07+00:00
8,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 18:59:28+00:00
9,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 18:51:08+00:00
10,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-06 17:56:20+00:00
11,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-05 17:19:30+00:00
12,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-05 16:33:31+00:00
13,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-05 16:33:29+00:00
14,"rt @nayikwei: step-by-step roadmap to learn data science from scratch for free
👇🏽👇🏽👇🏽


#datascientist #programming…",0,2,2023-01-05 14:45:24+00:00
15,"rt @essa_almazroei: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming…",0,1,2023-01-05 14:29:23+00:00
16,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-05 01:17:05+00:00
17,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-04 22:52:52+00:00
18,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-04 19:59:57+00:00
19,"rt @tut_ml: step-by-step roadmap to learn data science from scratch for free- 

#datascientist #programming #coding…",0,250,2023-01-04 19:13:22+00:00
