,text,favorite_count,retweet_count,created_at
0,rt @machinelearnflx: how much math do i need in data science?   #datascience,0,4,2023-01-07 15:37:18+00:00
1,"rt @progra_ming: certificate courses to become a google certified data scientist for free  🧵👇
 learn everything by spending $0 

all links…",0,94,2023-01-07 15:36:26+00:00
2,"rt @datasciencedojo: 🔥 look what's in-store for you all this weekend, 32 data sets for you to use to practice and improve your skills as a…",0,95,2023-01-07 15:36:16+00:00
3,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:36:14+00:00
4,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:36:12+00:00
5,anyway excited to announce i’m going to study plain old mathematics because data science is largely incredibly fucking evil,1,0,2023-01-07 15:36:08+00:00
6,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:35:51+00:00
7,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:35:43+00:00
8,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:35:37+00:00
9,rt @kodingkahawa: koding &amp; kahawa in collaboration with zindi africa (kabarak university) cordially invites you to join us for a tech talk…,0,3,2023-01-07 15:35:29+00:00
10,"2/ up-to-date professionals

a professional who is up-to-date with the latest technologies and 

techniques are always in demand in data science.

as a result, data professionals who continue to 

learning and staying up to date will be better
positioned to weather a recession.",0,0,2023-01-07 15:35:05+00:00
11,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:34:45+00:00
12,"rt @ogbenidipo: top 15 in-demand tech skills for 2023
•ai
•ar
•blockchain
•cybersecurity
•cloud computing
•data science
•devops
•digital ma…",0,458,2023-01-07 15:34:41+00:00
13,rt @otechtalks: how to build a causal inference machine learning model to explore whether global warming is caused by human activity | by g…,0,1,2023-01-07 15:34:15+00:00
14,"how to build a causal inference machine learning model to explore whether global warming is caused by human activity | by graham harrison | jan, 2023 | towards data science  via @tdatascience",0,1,2023-01-07 15:34:10+00:00
15,"rt @securitytrybe: 9 top certifications for 2023: 
 
   1.    cybersecurity
   2.   big data
   3.   data science 
   4.   cloud computing…",0,24,2023-01-07 15:34:08+00:00
16,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:33:47+00:00
17,"rt @chrisstaud: 7 tools and resources to help you land a job in programming, data science, devops &amp; more:",0,298,2023-01-07 15:33:44+00:00
18,rt @machinelearnflx: how much math do i need in data science?   #datascience,0,4,2023-01-07 15:33:41+00:00
19,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:33:35+00:00
20,"rt @chrisstaud: learning python and sql is one of the best ways to land a job in data science. 

here's how to do it for free in 4 simple s…",0,2110,2023-01-07 15:33:24+00:00
21,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:33:20+00:00
22,"""syft is openmined's open source stack that provides secure and private data science in python. syft decouples private data from model training, using techniques like federated learning, differential privacy, and encrypted computation."" i have to check this one out",0,0,2023-01-07 15:33:11+00:00
23,rt @machinelearnflx: how much math do i need in data science?   #datascience,0,4,2023-01-07 15:33:03+00:00
24,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:32:39+00:00
25,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:32:28+00:00
26,"@bowtiedhamachi what's your story sers?
sounds like you are coming from web dev to data science?",0,0,2023-01-07 15:31:58+00:00
27,"rt @datasciencedojo: 🔥 look what's in-store for you all this weekend, 32 data sets for you to use to practice and improve your skills as a…",0,95,2023-01-07 15:31:32+00:00
28,"la #daaaamn jefa @mathprofcarrie talking about the power of community and representation in math, data science, and social justice #disruptjmm ",1,0,2023-01-07 15:31:26+00:00
29,"the defence ministry said that the dis will focus on realizing the full potential of emerging digital technology in areas like cloud computing, data science and ai.",0,0,2023-01-07 15:31:22+00:00
30,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:31:21+00:00
31,how much math do i need in data science?   #datascience,4,4,2023-01-07 15:31:07+00:00
32,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:31:07+00:00
33,"human generated content is an excerpt on the ""importance of data science"" taken from one of my blog

 

# 7",1,0,2023-01-07 15:31:02+00:00
34,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:30:15+00:00
35,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:30:07+00:00
36,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:29:55+00:00
37,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:29:16+00:00
38,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:28:40+00:00
39,distance measures in data science with algorithms. ,0,0,2023-01-07 15:28:35+00:00
40,"rt @bu_cds: new year, new career! @bu_tweets cds has several open faculty positions: 

☑️chair of artificial intelligence in cds
☑️chair of…",0,6,2023-01-07 15:28:29+00:00
41,rt @truefeedback_io: data #science is an important branch of science in order to properly manage and interpret the ever-increasing amount o…,0,5,2023-01-07 15:28:15+00:00
42,"the more i think about it, the more i want to create a high school data science course for people to understand these things. because ppl will say anything to explain ai behavior 😩

check out late to the party's video! #tiktok ",1,0,2023-01-07 15:27:44+00:00
43,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:27:43+00:00
44,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:27:14+00:00
45,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:27:14+00:00
46,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:26:58+00:00
47,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:25:27+00:00
48,"rt @mdeverna2: submit your papers to the 4th cyber social threats workshop @thewebconf!

🚨select papers invited for an extended article in…",0,20,2023-01-07 15:25:20+00:00
49,@zimrevolution1 @zimlive yakapusa. this time we are ahead when it comes to data science.,1,0,2023-01-07 15:24:35+00:00
50,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:22:56+00:00
51,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:22:54+00:00
52,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:22:23+00:00
53,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:22:08+00:00
54,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:21:54+00:00
55,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:21:50+00:00
56,"@flipzworld well, this is a huge issue. due to a lot of how modern data science is implemented, a lot of uninformed people have come to incorrectly believe that a significant correlation ""proves"" causality. 

while probability is a useful method in many cases, it does not prove causality.",0,0,2023-01-07 15:21:23+00:00
57,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:20:41+00:00
58,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:20:07+00:00
59,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:19:53+00:00
60,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:19:50+00:00
61,data science vs. software engineering: key comparisons ,0,0,2023-01-07 15:19:47+00:00
62,"rt @python_spaces: become a google certified data scientist for free

from the basics of python to tensorflow, learn everything by spending…",0,1095,2023-01-07 15:19:23+00:00
63,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:17:49+00:00
64,rt @k_boazo: returning to front end web development after a week of trying to venture into data science ,0,318,2023-01-07 15:17:30+00:00
65,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:17:15+00:00
66,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:16:51+00:00
67,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:16:42+00:00
68,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:16:20+00:00
69,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:15:42+00:00
70,"rt @avikumart_: ever wondered how you get to see the most relevant ads that matter to you, on all digital platforms?🤔

yes, there are numer…",0,1,2023-01-07 15:15:39+00:00
71,"rt @strategy_gal: are education and mentorship in data important in the data science world?

lillian shares her insight into how mentorship…",0,1,2023-01-07 15:15:35+00:00
72,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:15:28+00:00
73,"rt @chrisstaud: data science is one of the hottest fields of 2023. 

here are some youtube videos to help you get started:",0,282,2023-01-07 15:15:17+00:00
74,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:15:09+00:00
75,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:14:57+00:00
76,"rt @sumanth_077: don't pay ridiculous amount of money to study python, data science and machine learning.

learn with these courses from go…",0,109,2023-01-07 15:14:49+00:00
77,"rt @akshay_pachaar: boost your odds of landing a data science job in 2023 with these projects 🚀

a thread 🧵 👇",0,53,2023-01-07 15:14:48+00:00
78,"rt @datasciencedojo: 🔥 look what's in-store for you all this weekend, 32 data sets for you to use to practice and improve your skills as a…",0,95,2023-01-07 15:14:47+00:00
