,text,favorite_count,retweet_count,created_at
0,"rt @helenebismarck: good overview article, but with a very unfortunate title. if ukraine uses the new weapons to try and push russian troop…",0,5,2023-01-07 11:46:29+00:00
1,# uk stock trading app turned to existing investors after £700mn price tag on company slipped in tough environment 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕europe can help ukraine by ending russia’s energy stranglehold,0,0,2023-01-07 11:46:25+00:00
2,rt @glasnostgone: so much for putin's #christmas ceasefire. @cnn now reporting they've observed incoming and outgoing artillery fire around…,0,72,2023-01-07 11:46:02+00:00
3,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:46:02+00:00
4,@lukedcoffey this is how some wants to portray türkiye to weaken its balancing act. those who happily left ukraine alone with russia wants to destabilise the region. they are done with middle east. east europe and areas surrounding russia is new middle east now.,0,0,2023-01-07 11:45:58+00:00
5,"rt @helenebismarck: good overview article, but with a very unfortunate title. if ukraine uses the new weapons to try and push russian troop…",0,5,2023-01-07 11:45:55+00:00
6,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:45:50+00:00
7,"""in a ukraine workshop, the quest to build the perfect grenade"" by by thomas gibbons-neff and natalia yermak via nyt  ",0,0,2023-01-07 11:45:48+00:00
8,"@bundeskanzler @zelenskyyua as long as the affiliates of the islamic republic regime are present in europe and canada and send money to the iranian government, the brutality of the iranian regime will continue. let's remember that russia lost the war when ""the russian oligarchs were kicked out of europe.""",0,0,2023-01-07 11:45:47+00:00
9,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:45:40+00:00
10,"putin wasted his leverage over europe, which no longer relies on russia for gas, german minister says ",0,0,2023-01-07 11:45:14+00:00
11,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:45:07+00:00
12,"rt @andriypzag: whoever tells us to “trade territories for peace” should not only remember that appeasing never helps, but also that their…",0,34,2023-01-07 11:45:05+00:00
13,russia’s war on ukraine latest: fighting follows moscow’s truce ,0,0,2023-01-07 11:45:00+00:00
14,"@eceodeatstzrqag @prasadgc high speed rail connecting india to asia , russia and europe would advance india incredibly",0,0,2023-01-07 11:44:58+00:00
15,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:44:56+00:00
16,rt @thesiriusreport: tehran is seemingly unwilling to allow europe any investment opportunities in iran compared to the huge deals signed w…,0,162,2023-01-07 11:44:54+00:00
17,# a choice between utopian and dystopian paths is likely to shape business for a decade 🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑russia shuts down nord stream gas pipeline to europe,0,0,2023-01-07 11:44:50+00:00
18,rt @balbirpunj: the #us is grappling with inflation. #europe is struggling with various issues because of the ripple effects of ongoing rus…,0,0,2023-01-07 11:44:32+00:00
19,"rt @euromaidanpress: meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to dis…",0,20,2023-01-07 11:44:07+00:00
20,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:43:51+00:00
21,"rt @helenebismarck: good overview article, but with a very unfortunate title. if ukraine uses the new weapons to try and push russian troop…",0,5,2023-01-07 11:43:50+00:00
22,"@joelbaccas i asked him for a detailed comparison of the conditions to settle in spain before and after brexit. funny enough never saw that one. and ""the eu isn't europe"" indeed. belarus, russia and the uk are the ones not in it, not closely associated with it or not wanting to join. 🤣🤣👇 ",0,0,2023-01-07 11:43:48+00:00
23,"rt @euromaidanpress: us to start training ukrainians on patriot missile system later this month, training to take several months

",0,37,2023-01-07 11:43:35+00:00
24,"rt @helenebismarck: good overview article, but with a very unfortunate title. if ukraine uses the new weapons to try and push russian troop…",0,5,2023-01-07 11:43:26+00:00
25,"""in a ukraine workshop, the quest to build the perfect grenade"" by by thomas gibbons-neff and natalia yermak via nyt new york times ",0,0,2023-01-07 11:43:15+00:00
