,text,favorite_count,retweet_count,created_at
0,"RT @Parajulisaroj16: This book has mission to spell out the motivation, intuition, and implication of the probabilistic tools we use in sci…",0,14,2023-01-05 20:51:16+00:00
1,"RT @EssexLifeSci: 🚨There's just under a week left to apply for our @ARIES_DTP studentships🚨

We have a range of opportunities, from data sc…",0,4,2023-01-05 20:51:10+00:00
2,"RT @python_spaces: Become a Google Certified Data Scientist for FREE

From the Basics of Python to TensorFlow, Learn everything by spending…",0,1028,2023-01-05 20:50:54+00:00
3,"@ShowtimeTate We can support our perspective, with science, peer reviewed studies and facts,  you and the other anti vaxxers can not.  You only have conspiracies, false data and quacks, no we can't have a constructive conversation when one side is crazy.",0,0,2023-01-05 20:50:16+00:00
4,"RT @ezekiel_aleke: AI SUBMERGE 2023 by @CovenworksAF:

This is a 1-year long hybrid Bootcamp for skills development in:

1. Artificial Inte…",0,116,2023-01-05 20:49:47+00:00
5,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:49:33+00:00
6,using my whitewashed brown girl voice in my data science lecture so guys can do the group work for me 😊😊😊,0,0,2023-01-05 20:49:30+00:00
7,"RT @SwissCognitive: The map of #MachineLearning 🗺️🤖🖥️

By data science beginners

#ML #DataScience #AI #PyTorch #Python #TensorFlow #CloudC…",0,11,2023-01-05 20:49:18+00:00
8,"RT @Theoladeledada: Please get your PVCs now &amp; after that try to learn the basics of Data Analytics. You can learn any of these:

- Machine…",0,108,2023-01-05 20:49:02+00:00
9,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science https://t.co/8lHbF9LvTr  #Python #ad,1,0,2023-01-05 20:48:53+00:00
10,@adelbelgaied It's pretty obvious why he's bringing the facts up. He wants to make people aware for the next time not to trust the so-called powers that be. Science is empirical data we don't need to have faith in it. Science is to be questioned especially if the federal government is funding,0,0,2023-01-05 20:48:48+00:00
11,"RT @python_spaces: Become a Google Certified Data Scientist for FREE

From the Basics of Python to TensorFlow, Learn everything by spending…",0,1028,2023-01-05 20:48:47+00:00
12,"We offer Online class homework, assignment and exam expert help with

Data Science
Medical Sciences
Earth and Planetary Sciences
Languages and Civilizations
Economics
Education 
Electrical Engineering
Applied Sciences
English
Environmental Science &amp; Engineering 
Online Exam help",0,0,2023-01-05 20:48:44+00:00
13,"RT @FatEmperor: If you promote masks, you are promoting the corruption of science, data and logic.

Period.

https://t.co/ETtXwNEcka",0,542,2023-01-05 20:47:48+00:00
14,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:47:32+00:00
15,RT @anifel20: Multiple PhD Graduate Assistantship Positions at the SysOptiMaL Lab at the Grado Department of Industrial and Systems Enginee…,0,14,2023-01-05 20:47:32+00:00
16,RT @hasdid: #DeepLearning #AI #Automated | Data science and analytics startup Tredence raises $175M to solve AI's last-mile problem https:/…,0,1,2023-01-05 20:47:11+00:00
17,#DeepLearning #AI #Automated | Data science and analytics startup Tredence raises $175M to solve AI's last-mile problem https://t.co/psoCpsUrXV,1,1,2023-01-05 20:47:03+00:00
18,@CrashDavis8 @JoshWalkos @no_masks_at_all Really???? 😂😂😂😂😂 No appropriately *qualified scientists* or data support a single thing he says. Science is hard. Posting stupid shit on Twitter… not so much 😬 https://t.co/TQoMNrVw27,0,0,2023-01-05 20:47:01+00:00
19,"“Cutting edge of science is blunter than ever”

 Could it be that scientists are educated to accept the current paradigm rather than question it.  https://t.co/WaKnzZHDcm",0,0,2023-01-05 20:46:53+00:00
20,"RT @BrickRequiem: &gt;”psych data” from random shitposts and trolling

psychology is not a science, it’s garbage https://t.co/ppmqvdUzHU",0,3,2023-01-05 20:46:39+00:00
21,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:46:16+00:00
22,Data Science.,0,0,2023-01-05 20:46:05+00:00
23,"RT @Theoladeledada: In 2023, try to learn the basics of Data Analytics. You can learn any of these:

- AI
- Machine learning
- Data Science…",0,396,2023-01-05 20:46:02+00:00
24,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:45:35+00:00
25,"RT @ezekiel_aleke: AI SUBMERGE 2023 by @CovenworksAF:

This is a 1-year long hybrid Bootcamp for skills development in:

1. Artificial Inte…",0,116,2023-01-05 20:45:18+00:00
26,"RT @paulabartabajo_: Overwhelmed by the massive amount of Data Science courses to choose from? 🤯

There is a better way to learn data scien…",0,32,2023-01-05 20:45:15+00:00
27,"RT @SwissCognitive: The map of #MachineLearning 🗺️🤖🖥️

By data science beginners

#ML #DataScience #AI #PyTorch #Python #TensorFlow #CloudC…",0,11,2023-01-05 20:45:10+00:00
28,Containers: How They Work Under the Hood and Why They’re Taking Over the Data Science World https://t.co/Gf4FeCw74U,0,0,2023-01-05 20:44:57+00:00
29,"RT @MDRresearch: Looking for a Data Scientist in our MDR program!
Are you interested in data science and data management? And do you have a…",0,2,2023-01-05 20:44:56+00:00
